id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
35239,Angel Luis Figueroa Otero,M,22.0,,,Puerto Rico,PUR,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Bantamweight,
35244,Emilia Mnica Figueroa Belhot,F,15.0,166.0,59.0,Uruguay,URU,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 400 metres Freestyle,
35256,Julia Figueroa Pea,F,25.0,150.0,48.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,
35263,"Enrique ""Quique"" Figueroa Surez",M,36.0,182.0,84.0,Puerto Rico,PUR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Multihull,
35293,Jens Filbrich,M,34.0,177.0,70.0,Germany,GER,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
35297,Frederic Luke Val Fildes,M,28.0,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Individual",
35301,Andrey Vladimirovich Filichkin,M,19.0,182.0,91.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
35305,Stanislav Gennadyevich Filimonov,M,18.0,180.0,63.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
35306,Lyubov Aleksandrovna Filimonova,F,21.0,175.0,60.0,Kazakhstan,KAZ,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
35316,Ngendua Filipe,F,30.0,178.0,72.0,Angola,ANG,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
35324,Dimitrinka Filipova,F,14.0,148.0,37.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Horse Vault,
35335,Grzegorz Filipowski,M,25.0,172.0,57.0,Poland,POL,1992 Winter,1992,Winter,Albertville,Figure Skating,Figure Skating Men's Singles,
35346,Filippos Filippou,M,27.0,168.0,56.0,Cyprus,CYP,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,
35350,Nikita Viktorovich Filippov,M,20.0,192.0,80.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Pole Vault,
35375,Tivadar Filts,M,24.0,,,Hungary,HUN,1928 Summer,1928,Summer,Amsterdam,Modern Pentathlon,Modern Pentathlon Men's Individual,
35377,Katarna Filov,F,23.0,173.0,63.0,Slovakia,SVK,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,
35382,Liene Fimbauere,F,21.0,156.0,55.0,Latvia,LAT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,
35394,Henry John Finchett,M,,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Team All-Around,
35394,Henry John Finchett,M,,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Parallel Bars,
35442,Vincenzo Finocchiaro,M,19.0,175.0,75.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Swimming,"Swimming Men's 1,500 metres Freestyle",
35464,Agustn Ignacio Fiorilli,M,17.0,170.0,71.0,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Swimming,"Swimming Men's 1,500 metres Freestyle",
35470,Victor Firea,M,29.0,,,Romania,ROU,1952 Summer,1952,Summer,Helsinki,Athletics,"Athletics Men's 3,000 metres Steeplechase",
35471,Baptiste Firiam,M,21.0,173.0,60.0,Vanuatu,VAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,
35486,Sharon Anne Firth,F,30.0,164.0,52.0,Canada,CAN,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
35487,Shirley Anne Firth (-Larsson),F,18.0,164.0,52.0,Canada,CAN,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,
35495,Antun Fier (Fischer),M,25.0,,,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
35502,Elvira Fischer,F,18.0,170.0,64.0,Austria,AUT,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Breaststroke,
35502,Elvira Fischer,F,22.0,170.0,64.0,Austria,AUT,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Breaststroke,
35533,Remo Fischer,M,24.0,173.0,66.0,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
35548,Renate Fischer-Khler,F,24.0,164.0,56.0,East Germany,GDR,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,
35548,Renate Fischer-Khler,F,28.0,164.0,56.0,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,
35550,Birgit Fischer-Schmidt,F,38.0,172.0,69.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
35553,Joseph Fischler,M,,,,Switzerland,SUI,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
35602,Franck Fisseux,M,19.0,172.0,62.0,France,FRA,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,
35648,"John Richardson ""Johnny"" Fitzpatrick",M,21.0,175.0,60.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
35653,Casey J. FitzRandolph,M,27.0,180.0,79.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,Speed Skating Men's 500 metres,Gold
35653,Casey J. FitzRandolph,M,27.0,180.0,79.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Men's 1,000 metres",
35654,"Patrick ""Pat"" Fitzsimmons",M,20.0,160.0,56.0,Ireland,IRL,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Featherweight,
35663,Ernst Fivian,M,20.0,162.0,65.0,Switzerland,SUI,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Silver
35667,Martn Fiz Martn,M,29.0,169.0,53.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",
35681,Eva Fjellerup (-Beck),F,34.0,,,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Women's epee, Individual",
35699,Helge Fladby (-Flatby),M,25.0,,,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Cycling,"Cycling Men's Road Race, Team",
35708,Marie Lon Flameng,M,18.0,,,France,FRA,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 333 metres Time Trial,
35711,Lon Flament,M,21.0,,,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Pairs,Bronze
35717,John Joseph Flanagan,M,40.0,178.0,95.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Hammer Throw,Gold
35722,Erika Flander,F,15.0,144.0,35.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,
35739,"Patrick ""Pat"" Flatley",M,20.0,188.0,89.0,Canada,CAN,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,
35740,Alfred Flatow,M,26.0,,,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
35747,Alfred Edward Flaxman,M,28.0,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Standing High Jump,
35758,Ulla Flegel (-Macho),F,24.0,172.0,61.0,Austria,AUT,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Pentathlon,
35766,Wilhelm Fleischer,M,24.0,169.0,68.0,Romania,ROU,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
35794,Thomas Flemming,M,21.0,189.0,86.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,
35804,Viktor Flessl,M,29.0,,,Austria,AUT,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Double Sculls,Bronze
35814,Jennie Fletcher (-Hyslop),F,22.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Bronze
35833,Mylne Fleury,F,17.0,154.0,52.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,
35837,Frederico Alfredo Kuntzle Flexa,M,32.0,190.0,132.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Heavyweight,
35859,Hartmut Flckner,M,19.0,183.0,70.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Freestyle,
35886,Rzvan Ionu Florea,M,27.0,186.0,72.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,
35909,Jess Flores Alba,M,19.0,,,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Diving,Diving Men's Platform,
35922,"Raymond Joseph ""Ray"" Flores",M,18.0,,,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
35935,Tibor Flrin,M,26.0,192.0,77.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Men's Volleyball,
35955,Jacques Flouret,M,28.0,186.0,87.0,France,FRA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,
35959,Frank Joseph Floyd,M,26.0,,60.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Boxing,Boxing Men's Lightweight,
36005,Alina Yanivna Fodorova,F,27.0,175.0,70.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,
36008,Hans Foerster,M,23.0,191.0,85.0,United States Virgin Islands,ISV,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
36010,Bakary Fofana,M,17.0,167.0,54.0,Cote d'Ivoire,CIV,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,
36013,Lancine Fofana,M,22.0,,,Cote d'Ivoire,CIV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,
36016,Sergei Fofanoff,M,23.0,178.0,75.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
36030,Alejandro Jos Foglia Costa,M,20.0,190.0,96.0,Uruguay,URU,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed One Person Dinghy,
36039,Marian Foik,M,31.0,172.0,69.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,
36046,Anton Viktorovich Fokin,M,33.0,169.0,57.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,
36077,Naomi Anne Folkard,F,28.0,169.0,76.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Archery,Archery Women's Individual,
36082,Hanu Folkmann,M,55.0,,,Czechoslovakia,TCH,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",
36114,Andrea Fondelli,M,22.0,190.0,96.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
36159,Silvia Fontana (-Zimmerman),F,25.0,158.0,55.0,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Women's Singles,
36176,Eduardo Fontecilla,M,27.0,161.0,60.0,Chile,CHI,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Marathon,
36194,Dianne Rena Foote (-Moreland),F,17.0,167.0,,New Zealand,NZL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,
36194,Dianne Rena Foote (-Moreland),F,17.0,167.0,,New Zealand,NZL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Horse Vault,
36205,David John Oliver Forbes,M,38.0,185.0,100.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold
36231,Dennis George Ford,M,21.0,191.0,,South Africa,RSA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 400 metres Freestyle,
36231,Dennis George Ford,M,25.0,191.0,,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 100 metres Freestyle,
36236,Michelle Jan Ford (-Eriksson),F,18.0,159.0,54.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 400 metres Freestyle,
36263,Judit Forgcs,F,21.0,168.0,58.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,
36266,Guy Forget,M,23.0,189.0,79.0,France,FRA,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,
36272,va Frin (-Hammerl),F,28.0,173.0,73.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Rifle, 10 metres",
36286,Sergio Formenti,M,23.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
36303,Judy Forras,F,31.0,,,Australia,AUS,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
36303,Judy Forras,F,31.0,,,Australia,AUS,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Slalom,
36367,Osvaldo Alberto Forte,M,33.0,,81.5,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Light-Heavyweight,
36374,Amanda Fortier,F,23.0,166.0,55.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
36376,Ana Josefina Fortin Pineda,F,20.0,166.0,51.0,Honduras,HON,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Freestyle,
36389,Rafael Emilio Fortn Chacn,M,32.0,170.0,68.0,Cuba,CUB,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,
36412,"Ingrid Fst (Michaelis-, -Lehmann)",F,25.0,160.0,50.0,Germany,GER,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,
36425,"John Charles ""Jack"" Foster",M,44.0,175.0,64.0,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Marathon,
36427,Jean Aurea Foster,F,23.0,155.0,60.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",
36431,Kate Foster,F,20.0,178.0,76.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,
36435,Mark Andrew Foster,M,22.0,198.0,93.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
36435,Mark Andrew Foster,M,38.0,198.0,93.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,
36449,"William ""Willie"" Foster",M,17.0,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",
36451,"John Frederick Foster, Sr.",M,54.0,,,United States Virgin Islands,ISV,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Keelboat,
36452,Brigitte Ann Foster-Hylton,F,33.0,170.0,62.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres Hurdles,
36460,Samu Fti (Fleck-),M,21.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Discus Throw,
36513,Simon Fourcade,M,25.0,174.0,65.0,France,FRA,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 15 kilometres Mass Start,
36540,"Vt Fousek, Sr.",M,34.0,176.0,73.0,Czechoslovakia,TCH,1948 Winter,1948,Winter,Sankt Moritz,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
36547,"Robert Arthur ""Bob"" Fowler",M,21.0,170.0,57.0,Newfoundland,NFL,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Marathon,
36560,Carol Jean Fox,F,27.0,162.0,51.0,United States-2,USA,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,
36563,"Daniel Richard ""Dan"" Fox",M,29.0,183.0,78.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,
36580,William Speed Lane Fox-Pitt,M,47.0,196.0,80.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
36582,Hayden Vernon Foxe,M,23.0,193.0,84.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,
36599,Vctor Hugo Fragola,M,43.0,183.0,83.0,Mizar,ARG,1960 Summer,1960,Summer,Roma,Sailing,Sailing Mixed Two Person Keelboat,
36605,Cristina Fraguas Snchez,F,16.0,,,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,
36614,douard Fraisse,M,48.0,,,France,FRA,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",
36614,douard Fraisse,M,48.0,,,France,FRA,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",
36632,Bruno Franceschetti,M,27.0,166.0,70.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,
36640,Claudio Francesconi,M,23.0,166.0,53.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",
36680,"Harrison Samuel ""Sam"" Francis",M,22.0,183.0,94.0,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Shot Put,
36699,Claudia Mara Franco Solana,F,17.0,170.0,56.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
36711,Atilio Franois Baldi,M,26.0,,,Uruguay,URU,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
36723,"Josefine ""Putzi"" Frandl (-Crotty)",F,29.0,168.0,68.0,Austria,AUT,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Downhill,
36740,Renos Frangoudis,M,19.0,170.0,,Greece,GRE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,
36765,"Victor Henry ""Vic"" Frank, Jr.",M,21.0,183.0,90.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Discus Throw,
36779,Elbieta Franke-Cymerman,F,28.0,160.0,58.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Team",
36798,Sonia Franquet Calvente,F,36.0,173.0,60.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",
36832,Damjan Fras,M,28.0,178.0,60.0,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze
36836,Raffaele Frasca,M,,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",
36845,"Gordon ""Gord"" Fraser",M,27.0,175.0,71.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
36871,Loris Frasnelli,M,30.0,178.0,70.0,Italy,ITA,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's Sprint,
36875,Adriano Frassinelli,M,28.0,175.0,72.0,Italy-1,ITA,1972 Winter,1972,Winter,Sapporo,Bobsleigh,Bobsleigh Men's Four,Silver
36890,Patrizia Fratini,F,14.0,160.0,46.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Balance Beam,
36895,"Johann ""Hans"" Frauenlob",M,45.0,187.0,105.0,New Zealand,NZL,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,
36915,Marcel Gaston Charles Frbourg,M,14.0,,,Socit Nautique de la Basse Seine-1,FRA,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's Coxed Fours,Silver
36943,Kaj Frederiksen,M,19.0,,,Denmark,DEN,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Flyweight,
36949,Hans Gunnar Fredin,M,18.0,184.0,74.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,
36949,Hans Gunnar Fredin,M,18.0,184.0,74.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,
36950,Eva Malin Ingegerd Fredin,F,21.0,,,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
36953,Jens Fredric Fredricson,M,44.0,180.0,78.0,Sweden,SWE,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",
36988,Kris Freeman,M,25.0,180.0,79.0,United States,USA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
36988,Kris Freeman,M,33.0,180.0,79.0,United States,USA,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
37002,Horst Freese,M,32.0,178.0,77.0,West Germany,FRG,1976 Winter,1976,Winter,Innsbruck,Speed Skating,"Speed Skating Men's 1,000 metres",
37019,"Marcus Ross ""Marc"" Freiberger",M,23.0,211.0,98.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
37030,Sylvain Freiholz,M,17.0,185.0,66.0,Switzerland,SUI,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
37030,Sylvain Freiholz,M,27.0,185.0,66.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
37036,Rico Freimuth,M,28.0,196.0,95.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,
37048,Meike Freitag,F,17.0,186.0,71.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
37059,Marcos Andr Sousa da Silva Freitas,M,28.0,180.0,75.0,Portugal,POR,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,
37076,Linda Jean French,F,28.0,162.0,55.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Doubles,
37080,"Susan ""Sue"" French-Lee",F,24.0,157.0,48.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",
37082,Peter Frenette,M,21.0,183.0,66.0,United States,USA,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
37087,Eric Frenzel,M,21.0,174.0,57.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",
37089,Monique Freres,F,19.0,152.0,48.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Floor Exercise,
37089,Monique Freres,F,19.0,152.0,48.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Horse Vault,
37098,Andrew Freshwater,M,24.0,,,Great Britain,GBR,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Downhill,
37100,Per Erik Fresk,M,27.0,180.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Individual",
37125,Max Frey,M,46.0,,,Austria,AUT,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
37127,Palle Frey,M,31.0,,,Denmark,DEN,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Team",
37192,Hans Friedrich,M,24.0,,,Austria,AUT,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,
37192,Hans Friedrich,M,28.0,,,Austria,AUT,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,
37196,Karlheinz Friedrich,M,26.0,161.0,52.0,Germany,GER,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around,
37198,Roberto Friedrich,M,23.0,187.0,78.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Pairs,
37213,Bruno Engelbrecht Frietsch,M,39.0,,,Finland,FIN,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
37235,Roberto Frinolli Puzzilli,M,27.0,178.0,65.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,
37271,Franziska Fritz,F,23.0,182.0,81.0,Germany-1,GER,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Women's Two,
37276,"Pieternella ""Nel"" Fritz (-Zandee)",F,23.0,167.0,59.0,Netherlands,NED,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,
37280,Anna-Lena Katarina Fritzon,F,22.0,169.0,60.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
37280,Anna-Lena Katarina Fritzon,F,22.0,169.0,60.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
37301,Lars Arne Frlander,M,34.0,184.0,83.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
37328,Louis Frommelt,M,29.0,178.0,73.0,Liechtenstein,LIE,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",
37329,Paul Frommelt,M,30.0,178.0,70.0,Liechtenstein,LIE,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,
37346,"David ""Dave"" Frost",M,27.0,180.0,81.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
37356,Knut Mauritz Frostad,M,25.0,189.0,90.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
37376,Richard Cornelius Frydenlund,M,28.0,,,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
